ID,X,Y
489,"[0, 1, 0.07923319302141442, 0]",1
490,"[0, 3, 0.1673683321292128, 1]",1
491,"[1, 1, 0.0894994219583541, 0]",0
492,"[1, 3, 0.010533671252887518, 0]",0
493,"[0, 1, 0.04175401068455553, 0]",1
494,"[0, 2, 0.1069838814668916, 0]",1
495,"[0, 1, 0.033958710872646534, 0]",1
496,"[0, 1, 0.09414468682268219, 0]",1
497,"[0, 1, 0.04765659174432152, 1]",1
498,"[1, 2, 0.03310582393764649, 0]",0
499,"[0, 2, 0.07970412056101667, 1]",1
500,"[0, 1, 0.22252647345113455, 1]",1
501,"[0, 3, 0.0836841660646064, 0]",0
502,"[1, 1, 0.05188921251468643, 0]",0
503,"[0, 2, 0.07593613567833608, 0]",1
504,"[0, 2, 0.05292851764206255, 1]",1
505,"[0, 2, 0.04938737669386607, 0]",0
506,"[0, 1, 0.09075039044982482, 0]",1
507,"[1, 1, 0.07172928519823404, 0]",0
508,"[1, 2, 0.006909701785150987, 0]",0
509,"[1, 2, 0.025748974173725046, 0]",0
510,"[0, 1, 0.08248586955120459, 0]",1
511,"[0, 1, 0.12472786744413789, 0]",1
512,"[1, 1, 0.016091683646388223, 0]",0
513,"[0, 3, 0.04564590876251259, 0]",0
514,"[1, 1, 0.0418420830323032, 0]",0
515,"[1, 2, 0.027638807140603946, 0]",0
516,"[1, 1, 0.018799924129670277, 0]",0
517,"[1, 3, 0.10042099927752768, 0]",0
518,"[1, 1, 0.022660165539391985, 0]",0
519,"[0, 2, 0.05951782387750724, 1]",1
520,"[0, 3, 0.05057419851162149, 0]",0
521,"[0, 2, 0.14565592201065472, 1]",1
522,"[1, 1, 0.03750210955035489, 0]",1
523,"[0, 2, 0.026095798857941367, 1]",1
524,"[0, 2, 0.07006116228664722, 0]",1
525,"[0, 1, 0.08846887747085329, 1]",1
526,"[0, 2, 0.04269109845195365, 0]",1
527,"[0, 2, 0.1158703837817627, 0]",0
528,"[1, 3, 0.07006116228664722, 0]",0
529,"[0, 1, 0.022767130161154385, 1]",0
530,"[0, 2, 0.07724692252117514, 0]",0
531,"[0, 3, 0.0547750905150151, 0]",0
532,"[0, 2, 0.03708774557518909, 0]",1
533,"[0, 1, 0.03719277654713136, 1]",1
534,"[0, 3, 0.04451203929436559, 0]",0
